Energy,CF_2,HF,CF_3,CH,CF,CHF,CHF_2,C,F
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.001182157323745,0.0,0.0,0.0,0.0,0.0,0.0
14.5,0.0,0.0,0.0072749877548589,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.013592195372061,0.0,0.0,0.0,0.0,0.0,0.0
15.5,0.0,0.0,0.0200455216381931,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0265664409727002,0.0,0.0,0.0,0.0022430935776688,0.0,0.0
16.5,0.0,0.0,0.0331017795981848,0.0,0.0,0.0,0.006104396864885,0.0,0.0
17.0,0.0,0.0,0.0396103646979768,0.0,0.0,0.0,0.0100751027853065,0.0,0.0
17.5,0.0,0.0,0.0460604445839167,0.0,0.0,0.0,0.014113603463574,0.0,0.0
18.0,0.0,0.0,0.0530049517530193,0.0,0.0,0.0,0.0181866870766931,0.0,0.0
18.5,0.0,0.0,0.0639465340515565,0.0,0.0,0.0,0.0222678626947824,0.0,0.0
19.0,0.0,0.0,0.0781919809843746,0.0,0.0,0.0,0.0263360393978216,0.0,0.0
19.5,0.0,0.0,0.0929638234239298,0.0,0.0,0.0,0.0303744793340561,0.0,0.0
20.0,0.0016781138635466,0.0,0.1120876793367837,0.0,0.0,0.0,0.0354664119165797,0.0,0.0
20.5,0.0034079166094824,0.0,0.1313171307833437,0.0,0.0,0.0,0.0439465307952539,0.0,0.0
21.0,0.0051746515863109,0.0,0.1505614316007407,0.0,0.0002577913068071,0.0008061295517371,0.0532743542472874,0.0,0.0
21.5,0.0069660365527877,0.0,0.1697463687025339,0.0,0.0015731274476494,0.00218380325509,0.0642193557342575,0.0,0.0
22.0,0.0087718487407783,0.0,0.1888114083304031,0.0,0.0029241416207622,0.0035943345812154,0.0768652253539273,0.0,0.0
22.5,0.0105835841010105,0.0,0.2077388369940461,0.0,0.0043009713526813,0.0050280448921036,0.0895718675650112,0.0,0.0
