Energy,CF_2,HF,CF_3,CH,CF,CHF,CHF_2,C,F
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.001673524127855,0.0,0.0,0.0,0.0,0.0,0.0
14.5,0.0,0.0,0.0102988555694399,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0192418271652721,0.0,0.0,0.0,0.0,0.0,0.0
15.5,0.0,0.0,0.0283774954848481,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0376088521096346,0.0,0.0,0.0,0.0028998562449668,0.0,0.0
16.5,0.0,0.0,0.0468606214416577,0.0,0.0,0.0,0.0078917230857527,0.0,0.0
17.0,0.0,0.0,0.0560745170745951,0.0,0.0,0.0,0.0130250249126999,0.0,0.0
17.5,0.0,0.0,0.0652055896475046,0.0,0.0,0.0,0.018245971345237,0.0,0.0
18.0,0.0,0.0,0.0750365995055982,0.0,0.0,0.0,0.0235116263626485,0.0,0.0
18.5,0.0,0.0,0.0905260792945523,0.0,0.0,0.0,0.0287877426694955,0.0,0.0
19.0,0.0,0.0,0.1106926837517525,0.0,0.0,0.0,0.0340470540666585,0.0,0.0
19.5,0.0,0.0,0.1316044813940088,0.0,0.0,0.0,0.0392679219723051,0.0,0.0
20.0,0.0008298140526676,0.0,0.1586772183681321,0.0,0.0,0.0,0.0458507380640558,0.0,0.0
20.5,0.0016851878494652,0.0,0.1858994419375683,0.0,0.0,0.0,0.0568137785422604,0.0,0.0
21.0,0.002558824342768,0.0,0.2131426870579266,0.0,0.0003051777123054,0.0001142595689082,0.0688727257741628,0.0,0.0
21.5,0.0034446500612793,0.0,0.240301893777992,0.0,0.0018622948988639,0.0003095289311368,0.0830223498599071,0.0,0.0
22.0,0.0043376099268906,0.0,0.2672913673234195,0.0,0.0034616483439011,0.0005094554825297,0.0993708447932958,0.0,0.0
22.5,0.0052334987543973,0.0,0.2940860315450252,0.0,0.0050915626844005,0.0007126673877482,0.1157979061228837,0.0,0.0
