Energy,CF_2,HF,CF_3,CH,CF,CHF,CHF_2,C,F
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,2.51796905211105e-05,0.0,0.0,0.0,0.0,0.0,0.0
14.5,0.0,0.0,0.0006776864051979,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0021613091168263,0.0,0.0,0.0,0.0,0.0,0.0
15.5,0.0,0.0,0.0044011797595597,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0073159482128297,0.0,0.0,0.0,0.0006821378891507,0.0,0.0
16.5,0.0,0.0,0.0108238260894008,0.0,0.0,0.0,0.0021728402839733,0.0,0.0
17.0,0.0,0.0,0.0148461467275179,0.0,0.0,0.0,0.0040603340624504,0.0,0.0
17.5,0.0,0.0,0.0193093350300394,0.0,0.0,0.0,0.0062942595696868,0.0,0.0
18.0,0.0,0.0,0.0245056196116611,0.0,0.0,0.0,0.0089590649175341,0.0,0.0
18.5,0.0,0.0,0.032205566813657,0.0,0.0,0.0,0.0127712776783385,0.0,0.0
19.0,0.0,0.0,0.0421289447856637,0.0,0.0,0.0,0.0177534194096504,0.0,0.0
19.5,0.0,0.0,0.0533730223703685,0.0,0.0,0.0,0.0235794453453974,0.0,0.0
20.0,0.0007598377330537,0.0,0.0677878325110102,0.0,0.0,0.0,0.0311006192981832,0.0,0.0
20.5,0.0017228970499725,0.0,0.0832241343291496,0.0,0.0,0.0,0.0393814254463885,0.0,0.0
21.0,0.0028710583386146,0.0,0.0995452235460887,0.0,0.0003785690850783,0.0001396232036363,0.0483339765735528,0.0,0.0
21.5,0.0041863810504563,0.0,0.116624475963079,0.0,0.0024835941497433,0.0004071184627187,0.0578751103961093,0.0,0.0
22.0,0.0056515052648685,0.0,0.1343456632998916,0.0,0.0049166058209999,0.0007143770406483,0.0679271383968448,0.0,0.0
22.5,0.0072609020468224,0.0,0.1528343274390775,0.0,0.0076553933036602,0.0010588665495993,0.0785371340522044,0.0,0.0
